timestamp,vessel_count,vessel_avg_speed
2025-08-22 01:12:00,4139,2.945397
2025-08-22 01:15:00,4162,2.965521
2025-08-22 01:18:00,4451,3.027118
2025-08-22 01:21:00,3949,2.969790
2025-08-22 01:24:00,4568,2.904772
2025-08-22 01:27:00,4080,3.008578
2025-08-22 01:30:00,4222,3.059569
2025-08-22 01:33:00,4218,3.068492
2025-08-22 01:36:00,4263,3.068614
2025-08-22 01:39:00,4371,3.160535
2025-08-22 01:42:00,4347,3.126202
2025-08-22 01:45:00,4028,3.232051
2025-08-22 01:48:00,4560,3.113925
2025-08-22 01:51:00,4324,3.170398
2025-08-22 01:54:00,4189,3.075245
2025-08-22 01:57:00,4537,3.473419
2025-08-22 02:00:00,4524,3.469452
2025-08-22 02:03:00,4642,3.402994
2025-08-22 02:06:00,4314,3.331757
2025-08-22 02:09:00,4309,3.322070
2025-08-22 02:12:00,4520,3.347013
2025-08-22 02:15:00,3788,3.239097
2025-08-22 02:18:00,4427,3.186334
2025-08-22 02:21:00,4216,3.279886
2025-08-22 02:24:00,4129,3.263865
2025-08-22 02:27:00,3827,3.259080
2025-08-22 02:30:00,4398,3.186926
2025-08-22 02:33:00,4094,3.117709
2025-08-22 02:36:00,4127,3.160771
2025-08-22 02:39:00,3912,2.975307
2025-08-22 02:42:00,4064,3.175369
2025-08-22 02:45:00,3788,3.017476
2025-08-22 02:48:00,2979,2.948775
2025-08-22 02:51:00,4803,2.980075
2025-08-22 02:54:00,4035,3.019083
2025-08-22 02:57:00,4212,2.904867
2025-08-22 03:00:00,3989,3.299549
2025-08-22 03:03:00,4098,3.108809
2025-08-22 03:06:00,4065,3.140566
2025-08-22 03:09:00,4162,3.241615
2025-08-22 03:12:00,4249,3.286138
2025-08-22 03:15:00,4156,3.324567
2025-08-22 03:18:00,4178,3.188822
2025-08-22 03:21:00,4085,3.172338
2025-08-22 03:24:00,4142,3.217310
2025-08-22 03:27:00,3998,3.228614
2025-08-22 03:30:00,4185,3.217491
2025-08-22 03:33:00,4002,3.128411
2025-08-22 03:36:00,3894,3.254802
2025-08-22 03:39:00,3947,3.157993
2025-08-22 03:42:00,3900,3.105256
2025-08-22 03:45:00,3957,3.015770
2025-08-22 03:48:00,4025,2.993665
2025-08-22 03:51:00,3969,3.059814
2025-08-22 03:54:00,3954,3.119297
2025-08-22 03:57:00,3781,2.994843
2025-08-22 04:00:00,4338,2.933610
2025-08-22 04:03:00,4089,2.878528
2025-08-22 04:06:00,4219,2.889974
2025-08-22 04:09:00,3875,2.940619
2025-08-22 04:12:00,4305,2.729849
2025-08-22 04:15:00,3990,2.811454
2025-08-22 04:18:00,4198,2.846832
2025-08-22 04:21:00,4219,2.912230
2025-08-22 04:24:00,4145,2.975030
2025-08-22 04:27:00,4356,2.894261
2025-08-22 04:30:00,4268,2.749461
2025-08-22 04:33:00,4134,2.662941
2025-08-22 04:36:00,4226,2.822788
2025-08-22 04:39:00,4069,2.787442
2025-08-22 04:42:00,4187,2.811846
2025-08-22 04:45:00,4028,2.941882
2025-08-22 04:48:00,4010,2.805312
2025-08-22 04:51:00,4236,3.013031
2025-08-22 04:54:00,4082,3.006320
2025-08-22 04:57:00,4286,3.081825
2025-08-22 05:00:00,4448,2.992761
2025-08-22 05:03:00,4078,2.993796
2025-08-22 05:06:00,4437,2.964909
2025-08-22 05:09:00,4368,2.995215
2025-08-22 05:12:00,3980,2.927437
2025-08-22 05:15:00,4427,2.781703
2025-08-22 05:18:00,4024,2.880964
2025-08-22 05:21:00,4172,2.846572
2025-08-22 05:24:00,3966,2.842789
2025-08-22 05:27:00,4062,2.894559
2025-08-22 05:30:00,4012,2.828365
2025-08-22 05:33:00,4311,2.909905
2025-08-22 05:36:00,4372,2.950984
2025-08-22 05:39:00,4345,2.877146
2025-08-22 05:42:00,4248,2.714454
2025-08-22 05:45:00,3826,2.922321
2025-08-22 05:48:00,3849,2.775890
2025-08-22 05:51:00,4641,2.805818
2025-08-22 05:54:00,4342,2.737011
2025-08-22 05:57:00,4130,2.874552
2025-08-22 12:36:00,4,0.000000
2025-08-22 12:39:00,31,0.938710
2025-08-22 12:42:00,2352,2.724405
2025-08-22 12:45:00,7422,2.896672
2025-08-22 12:48:00,7085,3.066662
2025-08-22 12:51:00,8035,3.159490
2025-08-22 12:54:00,7869,3.162956
2025-08-22 12:57:00,7075,3.074770
2025-08-22 13:00:00,7524,3.180183
2025-08-22 13:03:00,7553,3.140500
2025-08-22 13:06:00,7530,3.103015
2025-08-22 13:09:00,7124,3.114992
2025-08-22 13:12:00,8412,3.091215
2025-08-22 13:15:00,7584,3.194792
2025-08-22 13:18:00,7152,3.153216
2025-08-22 13:21:00,8088,2.874505
2025-08-22 13:24:00,7637,3.049718
2025-08-22 13:27:00,7411,2.928120
2025-08-22 13:30:00,8007,2.871013
2025-08-22 13:33:00,7270,2.944553
2025-08-22 13:36:00,7559,2.975910
2025-08-22 13:39:00,7615,2.949350
2025-08-22 13:42:00,7596,2.996867
2025-08-22 13:45:00,7580,3.148826
2025-08-22 13:48:00,7714,3.047459
2025-08-22 13:51:00,7352,3.007331
2025-08-22 13:54:00,7495,3.019480
2025-08-22 13:57:00,7611,3.082394
2025-08-22 14:00:00,7749,3.275519
2025-08-22 14:03:00,7256,3.280030
2025-08-22 14:06:00,8338,3.349808
2025-08-22 14:09:00,8515,3.492660
2025-08-22 14:12:00,7186,3.493724
2025-08-22 14:15:00,7397,3.385007
2025-08-22 14:18:00,7720,3.295078
2025-08-22 14:21:00,6716,3.452397
2025-08-22 14:24:00,8123,3.300862
2025-08-22 14:27:00,6804,3.334730
2025-08-22 14:30:00,7534,3.382453
2025-08-22 14:33:00,6897,3.502349
2025-08-22 14:36:00,7252,3.406219
2025-08-22 14:39:00,7049,3.392354
2025-08-22 14:42:00,7012,3.382288
2025-08-22 14:45:00,7539,3.360658
2025-08-22 14:48:00,7329,3.474567
2025-08-22 14:51:00,7308,3.421278
2025-08-22 14:54:00,7107,3.468594
2025-08-22 14:57:00,6999,3.431204
2025-08-22 15:00:00,6560,3.269634
2025-08-22 15:03:00,7051,3.378386
2025-08-22 15:06:00,6798,3.337643
2025-08-22 15:09:00,6744,3.277625
2025-08-22 15:12:00,6555,3.269565
